"","status","geometry","type","source","sYear","Financiado","Fase","Quantidade de UH","Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Logradouro"," Número do Logradouro"," Bairro"," CEP"," Município"," Código do Município"," Região"," Longitude","Latitude","id"
"1","Funciona","POINT (-45.478523 -22.934749)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 30564,52"," 190000"," R EDUARDO DA SILVA NETO NR"," 91"," GALEGA"," 12425300"," PINDAMONHANGABA"," 3538006"," RMVPLN"," -45.478523"," -22.934749",1
"2","Funciona","POINT (-48.206322 -23.370188)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 80000"," MANOEL ANTONIO DA SILVA"," 539"," RES FLORESTA"," 18250000"," GUAREÍ"," 3518503"," RMS"," -48.206322"," -23.370188",2
"3","Funciona","POINT (-45.401653 -23.806346)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 3100"," 180000"," R OCIANIDAS NR"," 51"," ENSEADA"," 11600000"," SÃO SEBASTIÃO"," 3550704"," RMVPLN"," -45.401653"," -23.806346",3
"4","Funciona","POINT (-47.057656 -22.954229)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 25120,18"," 188340,58"," VISCONDE CONGONHAS CAMPO"," 1161"," SAO MARTINHO"," 13040565"," CAMPINAS"," 3509502"," RMC"," -47.057656"," -22.954229",4
"5","Funciona","POINT (-47.320052 -22.713538)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 11729,76"," 130000"," DA MUSICA"," 1064"," RES MONIQUE"," 13473710"," AMERICANA"," 3501608"," RMC"," -47.320052"," -22.713538",5
"6","Funciona","POINT (-47.381038 -20.545946)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 140000"," ANTONIO PEDRO"," 3715"," JARDIM ELISA"," 14403661"," FRANCA"," 3516200"," ESP"," -47.381038"," -20.545946",6
"7","Funciona","POINT (-47.509632 -23.502594)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 33812,12"," 136000"," JOSE MARQUES DA SILVA"," 0"," CERRADO"," 18055113"," SOROCABA"," 3552205"," RMS"," -47.509632"," -23.502594",7
"8","Funciona","POINT (-47.723914 -21.169894)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 17835,38"," 145000"," R JURACY SARMANETO GIROTTO"," 110"," JD ANGEL JURCA"," 14093668"," RIBEIRÃO PRETO"," 3543402"," ESP"," -47.723914"," -21.169894",8
"9","Funciona","POINT (-46.528098 -23.428611)","Atendimento Individual","Casa Paulista","2014"," SAUDE"," Entregue"," 1"," "," SPE"," 21555,24"," 144000"," FLORO DE OLIVEIRA"," 0"," DOS MORROS"," 7135313"," GUARULHOS"," 3518800"," RMSP"," -46.528098"," -23.428611",9
"10","Funciona","POINT (-47.681921 -22.681863)","Atendimento Individual","Casa Paulista","2014"," EDUCACAO"," Entregue"," 1"," "," SPE"," 20778,40"," 149500"," NOSSA SENHORA DO CARMO"," 0"," STA TEREZINHA"," 13411030"," PIRACICABA"," 3538709"," AU PIRACICABA"," -47.681921"," -22.681863",10
