"","status","geometry","type","source","sYear","Empreendimento","Fase","Quantidade de UH"," Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Logradouro"," Número do Logradouro"," Bairro"," CEP"," Município"," Código do Município"," Região","Longitude","Latitude","id"
"1","Funciona","POINT (-46.8524166666667 -23.6511944444444)","CR.SOLIDARIO",NA,NA," RESIDENCIAL CASA BRANCA 761/2008"," CONCLUÍDO"," 140"," CASA"," CR.SOLIDARIO"," 1400000"," 5026191,80"," Avenida Mississipi"," s/n"," Pirajussara"," "," Embu das Artes"," 3515004"," RMSP"," -46.8524166666667"," -23.6511944444444",1
"2","Funciona","POINT (-46.46025 -23.667)","CR.SOLIDARIO",NA,NA," NOVA ESPERANÇA 364/2008"," CONCLUÍDO"," 200"," APTO"," CR.SOLIDARIO"," 2173661,30"," 8158661,30"," Rua José Fernando Medina Braga"," s/n"," Fazenda Capitão São João"," "," Mauá"," 3529401"," RMSP"," -46.46025"," -23.667",2
"3","Funciona","POINT (-46.7455 -23.4548888888889)","CR.SOLIDARIO",NA,NA," RESIDENCIAL COLINA DA OESTE 758/2008"," CONCLUÍDO"," 200"," APTO"," CR.SOLIDARIO"," 2000000"," 8748472,01"," Avenida Jerimanduba"," s/n"," Jaraguá"," "," São Paulo"," 3550308"," RMSP"," -46.7455"," -23.4548888888889",3
"4","Funciona","POINT (-47.0659722222222 -22.9087222222222)","CR.SOLIDARIO",NA,NA," RESIDENCIAL NOVO MUNDO MODULO I 799/2008"," CONCLUÍDO"," 65"," CASA"," CR.SOLIDARIO"," 249902,72"," 2186000,70"," Rua Quarteirão 30027"," s/n"," Campo Grande"," "," Campinas"," 3509502"," RMC"," -47.0659722222222"," -22.9087222222222",4
"5","Funciona","POINT (-46.7913888888889 -23.5341666666667)","CR.SOLIDARIO",NA,NA," RESIDENCIAL VILA NOVA 1057/2008"," CONCLUÍDO"," 284"," APTO"," CR.SOLIDARIO"," 2607550,04"," 11127550,04"," Rua Graziela Flores Piteri"," s/n"," Jardim Piratininga"," "," Osasco"," 3534401"," RMSP"," -46.7913888888889"," -23.5341666666667",5
"6","Funciona","POINT (-46.5065277777778 -23.6853333333333)","CR.SOLIDARIO",NA,NA," CONJUNTO HABITACIONAL HUMAITÁ 1056/2008"," CONCLUÍDO"," 40"," APTO"," CR.SOLIDARIO"," 600000"," 2481525,85"," Avenida Capitão Mário de Toledon Camargo"," s/n"," Vila Humaitá"," "," Santo André"," 3547809"," RMSP"," -46.5065277777778"," -23.6853333333333",6
"7","Funciona","POINT (-46.6205277777778 -23.6819444444444)","CR.SOLIDARIO",NA,NA," CONJUNTO HABITACIONAL SONIA MARIA 365/2008"," CONCLUÍDO"," 60"," APTO"," CR.SOLIDARIO"," 736407,05"," 2928718,20"," Rua Sonia Maria"," 142"," Jardim Ruyce"," "," Diadema"," 3513801"," RMSP"," -46.6205277777778"," -23.6819444444444",7
"8","Funciona","POINT (-46.7675 -23.6604166666667)","CR.SOLIDARIO",NA,NA," CONDOMÍNIO NOSSA SENHORA APARECIDA 788/2008"," CONCLUÍDO"," 180"," APTO"," CR.SOLIDARIO"," 2695967,55"," 8208323,92"," Estrada De Itapecerica"," 1770"," Parque do Engenho"," "," São Paulo"," 3550308"," RMSP"," -46.7675"," -23.6604166666667",8
"9","Funciona","POINT (-46.6343055555556 -23.5373333333333)","CR.SOLIDARIO",NA,NA," CONDOMÍNIO NOVO HORIZONTE 897/2008"," CONCLUÍDO"," 63"," APTO"," CR.SOLIDARIO"," 627000"," 2486072,55"," Rua Brigadeiro Tobias"," 258"," Centro"," "," São Paulo"," 3550308"," RMSP"," -46.6343055555556"," -23.5373333333333",9
"10","Funciona","POINT (-46.4256666666667 -23.5225555555556)","CR.SOLIDARIO",NA,NA," CONDOMÍNIO RESESIDENCIAL SANTO EXPEDITO 1055/2008"," ENTREGA TOTAL"," 170"," APTO"," CR.SOLIDARIO"," 2550000"," 8923211,89"," Rua Carlos Manelli"," s/n"," Guaianazes"," "," São Paulo"," 3550308"," RMSP"," -46.4256666666667"," -23.5225555555556",10
"11","Funciona","POINT (-46.5732222222222 -23.4626666666667)","CR.SOLIDARIO",NA,NA," CONDOMÍNIO RESIDENCIAL ALVORADA 363/2008"," CONCLUÍDO"," 120"," APTO"," CR.SOLIDARIO"," 1010746,18"," 4610745,69"," Rua Lopes da Costa"," 782"," Jaçanã"," "," São Paulo"," 3550308"," RMSP"," -46.5732222222222"," -23.4626666666667",11
"12","Funciona","POINT (-46.74625 -23.4412777777778)","CR.SOLIDARIO",NA,NA," CONDOMÍNIO RESIDENCIAL VALE DAS FLORES 895/2008"," ENTREGA TOTAL"," 63"," CASA"," CR.SOLIDARIO"," 630000"," 2990545,26"," Rua Francisco da Cunha Menezes"," 975"," Jaraguá"," "," São Paulo"," 3550308"," RMSP"," -46.74625"," -23.4412777777778",12
