"","status","geometry","type","source","sYear","Empreendimento","Fase","Quantidade de UH"," Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Logradouro"," Número do Logradouro"," Bairro"," CEP"," Município"," Código do Município"," Região","Longitude","Latitude","id"
"1","Funciona","POINT (-45.90025 -23.2238611111111)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL ALTO DA PONTE"," OBRAS >= 85%"," 300"," APTO"," FAR"," 5861068,19"," 28661068,19"," Estrada Municipal         JUCA DE CARVALHO"," "," ALTO DA PONTE"," "," São José dos Campos"," 3549904"," RMVPLN"," -45.90025"," -23.2238611111111",1
"2","Funciona","POINT (-46.8586666666667 -23.5752222222222)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL AZALÉIAS - CONDOMÍNIO JARDIM DAS FLORES LOTE B"," CONCLUÍDO"," 300"," APTO"," FAR"," 6000000"," 28799987,72"," Rua                       Paraguai"," 1-183"," "," "," Carapicuíba"," 3510609"," RMSP"," -46.8586666666667"," -23.5752222222222",2
"3","Funciona","POINT (-47.3801027777778 -23.3940305555556)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL BEM VIVER"," CONCLUÍDO"," 144"," APTO"," FAR"," 1910141,78"," 12854141,78"," Rua                       Jorge Elias"," 180"," Cajuru do Sul"," 18105109"," Sorocaba"," 3552205"," RMS"," -47.3801027777778"," -23.3940305555556",3
"4","Funciona","POINT (-47.3900083333333 -22.7725055555556)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL BOSQUE DAS ÁRVORES"," OBRAS"," 1320"," APTO"," FAR"," 26399515,38"," 126719515,38"," Avenida Ruth Garrido Roque"," lt 1e7"," Parque Residencial do Lago"," 13458626"," Santa Bárbara d'Oeste"," 3545803"," RMC"," -47.3900083333333"," -22.7725055555556",4
"5","Funciona","POINT (-46.4249166666667 -23.5215555555556)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL BOTUCATU"," OBRAS"," 294"," APTO"," CHAM"," 5608829,57"," 27952829,57"," Rua PEDRO DE CAMPOS TOURINHO"," 0"," VILA CURUÇA"," 08032530"," São Paulo"," 3550308"," RMSP"," -46.4249166666667"," -23.5215555555556",5
"6","Funciona","POINT (-46.4013527777778 -23.4408611111111)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL BRISAS"," OBRAS >= 85%"," 280"," APTO"," FAR"," 4953547,66"," 26233547,66"," Estrada                   DO CAMINHO VELHO"," "," ´GUA CHATA"," "," Guarulhos"," 3518800"," RMSP"," -46.4013527777778"," -23.4408611111111",6
"7","Funciona","POINT (-47.2454 -22.8918527777778)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL BROMÉLIAS I E II"," ENTREGA TOTAL"," 440"," APTO"," FAR"," 5533438,51"," 38973438,51"," Estrada Municipal  GLEBA REMANESCENTE 8A"," 0"," JARDIM AMANDA"," "," Hortolândia"," 3519071"," RMC"," -47.2454"," -22.8918527777778",7
"8","Funciona","POINT (-45.8047222222222 -23.2113888888889)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL CAMPOS DE SÃO JOSÉ II"," OBRAS >= 85%"," 144"," APTO"," FAR"," 2880000"," 13824000"," Estrada Municipal         DOM JOSÉ ANTÔNIO DO COUTO"," "," CAJURU"," "," São José dos Campos"," 3549904"," RMVPLN"," -45.8047222222222"," -23.2113888888889",8
"9","Funciona","POINT (-46.8524166666667 -23.6511944444444)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL CASA BRANCA 761/2008"," CONCLUÍDO"," 140"," CASA"," CR.SOLIDARIO"," 1400000"," 5026191,80"," Avenida Mississipi"," s/n"," Pirajussara"," "," Embu das Artes"," 3515004"," RMSP"," -46.8524166666667"," -23.6511944444444",9
"10","Funciona","POINT (-46.9719166666667 -22.4324722222222)","Empreendimentos","Casa Paulista","2014"," RESIDENCIAL CASA NOVA"," OBRAS"," 1400"," APTO"," FAR"," 21000000"," 119000000"," Avenida MARGINAL E RUA 26"," s/n"," Jd Santa Cruz"," 13840000"," Mogi Guaçu"," 3530706"," ESP"," -46.9719166666667"," -22.4324722222222",10
