"","status","geometry","type","source","sYear","Empreendimento","Fase","Quantidade de UH"," Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Logradouro"," Número do Logradouro"," Bairro"," CEP"," Município"," Código do Município"," Região","Longitude","Latitude","id"
"1","Funciona","POINT (-46.3861944444444 -23.5865)","Entidade",NA,NA," RESIDENCIAL CIDADE TIRADENTES  IV"," ASSINADO"," 228"," APTO"," Entidade"," 4560000"," 19401367,04"," Travessa                  Cachoeira de Paulo Afonso"," S/N"," CONJUNTO HABITACIONAL SITIO CONCEIÇAO"," 08473240"," São Paulo"," 3550308"," RMSP"," -46.3861944444444"," -23.5865",1
"2","Funciona","POINT (-46.6208888888889 -23.6808333333333)","Entidade",NA,NA," RESIDENCIAL YAMAGATA"," ASSINADO"," 220"," APTO"," Entidade"," 4400000"," 21120000"," Rua                       YAMAGATA LOTE 1 QUADRA 12 - JARDIM TAKEBI"," "," TABOÃO"," "," Diadema"," 3513801"," RMSP"," -46.6208888888889"," -23.6808333333333",2
"3","Funciona","POINT (-46.2900555555556 -23.4930555555556)","Entidade",NA,NA," RESIDENCIAL ZORILDA"," OBRAS"," 80"," CASA"," Entidade"," 1600000"," 6556548,68"," Rua                       Guilherme Garijo"," 371"," Jardim Santa Inês"," 08695010"," Suzano"," 3552502"," RMSP"," -46.2900555555556"," -23.4930555555556",3
"4","Funciona","POINT (-47.5925 -21.1986111111111)","Entidade",NA,NA," LOTEAMENTO RESIDENCIAL MORADA DO SOL"," ASSINADO"," 122"," CASA"," Entidade"," 1830000"," 9605927,31"," Rua PROLONGAMENTO DA RUA MARIO BERTOLINE"," 0"," "," "," Serrana"," 3551504"," ESP"," -47.5925"," -21.1986111111111",4
"5","Funciona","POINT (-46.2907722222222 -23.5401333333333)","Entidade",NA,NA," MUTIRÃO 5 DE DEZEMBRO"," OBRAS"," 56"," APTO"," Entidade"," 1120000"," 6485822,35"," Rua ANICIO TEODORO DE OLIVEIRA"," S/N"," JD NAZARETH"," 08613240"," Suzano"," 3552502"," RMSP"," -46.2907722222222"," -23.5401333333333",5
"6","Funciona","POINT (-46.2945638888889 -23.5446305555556)","Entidade",NA,NA," MUTIRÃO TÂNIA MARIA"," OBRAS"," 88"," APTO"," Entidade"," 1760000"," 9953791,80"," Rua NEIDE MATHIAS DA SILVA"," S/N"," MONTE SION"," 08613120"," Suzano"," 3552502"," RMSP"," -46.2945638888889"," -23.5446305555556",6
"7","Funciona","POINT (-46.5117111111111 -23.6960111111111)","Entidade",NA,NA," NOVO PINHEIRINHO"," APORTE EMITIDO"," 410"," APTO"," Entidade"," 8200000"," 41425613,34"," Rua ADRIATICO"," S/N"," JARDIM ESTÁDIO"," 09172180"," Santo André"," 3547809"," RMSP"," -46.5117111111111"," -23.6960111111111",7
"8","Funciona","POINT (-46.8000277777778 -23.6279722222222)","Entidade",NA,NA," SANTA TEREZINHA III"," ASSINADO"," 500"," APTO"," Entidade"," 10000000"," 52626948,18"," Rua                       ALBERTO JOSÉ ESQUINA ISABEL SORIA MAINARDES"," "," "," 06787110"," Taboão da Serra"," 3552809"," RMSP"," -46.8000277777778"," -23.6279722222222",8
"9","Funciona","POINT (-46.2951833333333 -23.9830916666667)","Entidade",NA,NA," VILA SAPO"," APORTE EMITIDO"," 130"," APTO"," Entidade"," 2600000"," 12480000"," Rua REPÚBLICA DO EQUADOR"," 0"," PONTA DA PRAIA"," "," Santos"," 3548500"," RMBS"," -46.2951833333333"," -23.9830916666667",9
"10","Funciona","POINT (-46.3861111111111 -23.5868611111111)","Entidade",NA,NA," RESIDENCIAL CIDADE TIRADENTES I"," ASSINADO"," 216"," APTO"," Entidade"," 4320000"," 18380289,84"," Travessa                  Cachoeira de Paulo Afonso"," S/N"," CONJUNTO HABITACIONAL SITIO CONCEIÇAO"," 08473240"," São Paulo"," 3550308"," RMSP"," -46.3861111111111"," -23.5868611111111",10
"11","Funciona","POINT (-46.3860833333333 -23.5871111111111)","Entidade",NA,NA," RESIDENCIAL CIDADE TIRADENTES II"," ASSINADO"," 222"," APTO"," Entidade"," 4440000"," 18890903,44"," Travessa                  Cachoeira de Paulo Afonso"," S/N"," CONJUNTO HABITACIONAL SITIO CONCEIÇAO"," 08473240"," São Paulo"," 3550308"," RMSP"," -46.3860833333333"," -23.5871111111111",11
