"","status","geometry","type","source","sYear","Empreendimento","Fase","Quantidade de UH","Tipo de UH"," Programa"," Logradouro"," Número de Logradouro"," Complemento"," Bairro","CEP","Município","Código do Município","Região","Número de Operação"," Data Contrato","00","id"
"1","Funciona","POINT (-46.419167000499 -23.4522220005443)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," VILA PIMENTAS II, RESIDENCIAL                               "," ASSINADO"," 420"," "," FAR"," "," "," RUA MUCUGEO S/N                                             "," "," "," GUARULHOS"," 3518800"," RMSP"," 30729881"," 14/09/2010 00","00",1
"2","Funciona","POINT (-47.2019440004953 -22.9686110005297)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," BAIRRO CAMPINAS                                             "," ASSINADO"," 2380"," "," FAR"," "," "," ACESSO PELA RUA ARACY CAIXETA BARBOSA C/ RUA JOSE DE SOUZA  "," "," "," CAMPINAS"," 3509502"," RMC"," 30242407"," 21/12/2009 00","00",2
"3","Funciona","POINT (-47.1702780005178 -22.6344440005538)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RESIDENCIAL MANOEL FERREIRA DE SOUZA                        "," ASSINADO"," 688"," "," FAR"," "," "," RUA SANTO RIZZO, QUADRAS A, B, C, D E E                     "," "," "," COSMÓPOLIS"," 3512803"," RMC"," 30266291"," 01/03/2012 00","00",3
"4","Funciona","POINT (-46.419167000499 -23.4522220005443)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," VILA PIMENTAS I, RESIDENCIAL                                "," ASSINADO"," 580"," "," FAR"," "," "," RUA MACUGEO S/N (ANTIGA ESTRADA DO MOINHO VELHO)            "," "," "," GUARULHOS"," 3518800"," RMSP"," 31037707"," 14/09/2010 00","00",4
"5","Funciona","POINT (-45.9261110005277 -23.3258330005826)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," VISTA DAS ARAUCARIAS, RESIDENCIAL                           "," ASSINADO"," 168"," "," FAR"," "," "," ESTR PROF OLINDA A MERCADANTE S/N                           "," "," "," JACAREÍ"," 3524402"," RMVPLN"," 30105413"," 23/12/2009 00","00",5
"6","Funciona","POINT (-45.9452780005277 -23.3133330005823)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RESIDENCIAL SANTA TEREZINHA II                              "," ASSINADO"," 176"," "," FAR"," "," "," RUA JULIETA DE M PASSOS                                     "," "," "," JACAREÍ"," 3524402"," RMVPLN"," 30730794"," 07/10/2010 00","00",6
"7","Funciona","POINT (-45.9261110005284 -23.3147220005833)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," PLANALTO, RESIDENCIAL                                       "," ASSINADO"," 198"," "," FAR"," "," "," RUA DAS SAMAMBAIAS 120 AREA 2                               "," "," "," JACAREÍ"," 3524402"," RMVPLN"," 30516434"," 23/12/2009 00","00",7
"8","Funciona","POINT (-45.9444440005277 -23.3127780005823)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RESIDENCIAL SANTA TEREZINHA I                               "," ASSINADO"," 160"," "," FAR"," "," "," RUA JULIETA DE MANCILHA PASSOS                              "," "," "," JACAREÍ"," 3524402"," RMVPLN"," 30730576"," 07/10/2010 00","00",8
"9","Funciona","POINT (-45.374167000576 -22.9025000006442)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RESIDENCIAL LIBERDADE III                                   "," ASSINADO"," 580"," "," FAR"," "," "," AV DAS ORQUIDEAS                                            "," "," "," PINDAMONHANGABA"," 3538006"," RMVPLN"," 31879642"," 30/03/2010 00","00",9
"10","Funciona","POINT (-45.2141670005903 -22.7697220006626)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," COLINAS DOS RESEDAS, RESIDENCIAL                            "," ASSINADO"," 139"," "," FAR"," "," "," ESTR MUNICIPAL PLINIO GALVAO CESAR                          "," "," "," GUARATINGUETÁ"," 3518404"," RMVPLN"," 30663329"," 15/01/2010 00","00",10
"11","Funciona","POINT (-45.2147220005904 -22.7680560006627)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," BOSQUE DAS QUARESMEIRAS, RESIDENCIAL                        "," ASSINADO"," 130"," "," FAR"," "," "," ESTR MUNICIPAL PLINIO GALVAO CESAR                          "," "," "," GUARATINGUETÁ"," 3518404"," RMVPLN"," 30663433"," 15/01/2010 00","00",11
"12","Funciona","POINT (-45.128333000594 -22.7625000006682)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," CAMPOS DOS IPES, RESIDENCIAL                                "," ASSINADO"," 200"," "," FAR"," "," "," RUA JOSE C CARVALHO VIANNA, S/N                             "," "," "," LORENA"," 3527207"," RMVPLN"," 30754806"," 22/03/2010 00","00",12
"13","Funciona","POINT (-46.9511110005462 -22.3344440005869)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," CONJUNTO HABITACIONAL MOGI GUACU ""O""                        "," ASSINADO"," 195"," "," FAR"," "," "," AVENIDA DOS BANDEIRANTES                                    "," "," "," MOGI GUAÇU"," 3530706"," ESP"," 30438029"," 08/03/2010 00","00",13
"14","Funciona","POINT (-46.9430560005464 -22.3352780005873)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," CONDOMINIO RESIDENCIAL MOGI-GUACU                           "," ASSINADO"," 408"," "," FAR"," "," "," RUA JOAQUINA MARIA DE ARRUDA                                "," "," "," MOGI GUAÇU"," 3530706"," ESP"," 30114273"," 14/01/2010 00","00",14
"15","Funciona","POINT (-47.8397220005806 -21.1477780006089)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," CONDOMINIO RESIDENCIAL DE INTERESSE SOCIAL QUADRA 07_______ "," ASSINADO"," 136"," "," FAR"," "," "," R. MARIA CELINA BIN ROSA- QDRA 7- LTE 01 A 36               "," "," "," RIBEIRÃO PRETO"," 3543402"," ESP"," 29070318"," 29/06/2009 00","00",15
"16","Funciona","POINT (-47.8425000005805 -21.1472220006087)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," CONDOMINIO RESIDENCIAL DE INTERESSE SOCIAL QUADRA 04        "," ASSINADO"," 120"," "," FAR"," "," "," R"," Bairro","CEP","Município","Código do Município","Região","Número de Operação"," Data Contrato","00",16
"17","Funciona","POINT (-51.3797222225637 -22.0797222225534)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," CONDOMINIO PORTAL DA AGUA CHATA                             "," ASSINADO"," 200"," "," FAR"," "," "," ESTRADA DA AGUA CHATA, 18                                   "," "," "," PRESIDENTE PRUDENTE"," 3541406"," ESP"," 30730024"," 12/02/2010 00","00",17
"18","Funciona","POINT (-46.5991670004752 -23.7044440005163)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," JARDIM PORTINARI, RES                                       "," ASSINADO"," 200"," "," FAR"," "," "," AV FUNDIBEM                                                 "," "," "," DIADEMA"," 3513801"," RMSP"," 30667207"," 30/05/2012 00","00",18
"19","Funciona","POINT (-46.2169440005013 -23.5516670005497)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," CONJ RES SANTA ANTONIETA II                                 "," ASSINADO"," 200"," "," FAR"," "," "," RUA BRIGADEIRO NEWTON BRAGA, 310                            "," "," "," MOGI DAS CRUZES"," 3530607"," RMSP"," 29943441"," 23/12/2009 00","00",19
"20","Funciona","POINT (-46.2175000005014 -23.550833333883)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," ESPLANADA, RESIDENCIAL                                      "," ASSINADO"," 500"," "," FAR"," "," "," ESTRADA DO CAMINHO VELHO, 436                               "," "," "," MOGI DAS CRUZES"," 3530607"," RMSP"," 30054964"," 08/02/2010 00","00",20
"21","Funciona","POINT (-50.4541100103833 -21.151202699372)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RESIDENCIAL AGUAS CLARAS"," "," 499"," "," FAR"," LOTEAMENTO RESIDENCIAL AGUAS CLARAS - ARACATUBA/SP"," "," "," BAIRRO AGUAS CLARAS"," "," ARAÇATUBA"," 3502804"," ESP"," 0361966-09"," 30/04/2012 00","00",21
"22","Funciona","POINT (-46.282778000501 -23.5130560005484)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," RESIDENCIAL SANTA CECILIA                                   "," ASSINADO"," 280"," "," FAR"," "," "," ESTRADA JOSE CONCEICAO - CHACARA SANTA CECILIA              "," "," "," SUZANO"," 3552502"," RMSP"," 29941620"," 21/05/2012 00","00",22
"23","Funciona","POINT (-46.2866670005012 -23.5069440005486)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," COND.RES.TOPAZIO                                            "," ASSINADO"," 378"," "," FAR"," "," "," AV. WASHINGTON LUIZ X ESTRADA DO RONDA, AREA 2              "," "," "," SUZANO"," 3552502"," RMSP"," 29940719"," 01/07/2010 00","00",23
"24","Funciona","POINT (-47.175278000497 -22.9597220005319)","Minha Casa Minha Vida/FAR"," Ministério das Cidades","2014"," CAMPINAS PIRELLI - QD 98 GLOBAL                             "," ASSINADO"," 2620"," "," FAR"," "," "," AV. 4 QUADRA 98                                             "," "," "," CAMPINAS"," 3509502"," RMC"," 29691720"," 08/07/2010 00","00",24
