"","status","geometry","type","source","sYear","Empreendimento","Fase","Quantidade de UH"," Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Logradouro"," Número do Logradouro"," Bairro"," CEP"," Município"," Código do Município"," Região","Longitude","Latitude","id"
"1","Funciona","POINT (-50.1765277777778 -22.1073611111111)","M.Melhor",NA,NA," POMPEIA"," OBRAS"," 40"," CASA"," M.MELHOR"," 640000"," 640000"," Rua ADI RODRIGUES"," S/N"," PRIMAVERA"," 17500000"," POMPÉIA"," 3540002"," ESP"," -50.1765277777778"," -22.1073611111111",1
"2","Funciona","POINT (-45.2601111111111 -22.8355555555556)","M.Melhor",NA,NA," POTIM"," OBRAS"," 40"," CASA"," M.MELHOR"," 640000"," 640000"," Avenida NOSSA SENHORA APARECIDA "," S/N"," VISTA ALEGRE"," 12525000"," POTIM"," 3540754"," RMVPLN"," -45.2601111111111"," -22.8355555555556",2
"3","Funciona","POINT (-52.1243888888889 -21.7582777777778)","M.Melhor",NA,NA," LOTEAMENTO RESIDENCIAL VILLAGE LAGOINHA"," OBRAS"," 50"," CASA"," M.MELHOR"," 601986,82"," 601986,82"," Rua Principal JOÃO JUSTINO DOS SANTOS "," S/N"," "," "," PRESIDENTE EPITÁCIO"," 3541307"," ESP"," -52.1243888888889"," -21.7582777777778",3
"4","Funciona","POINT (-49.8603888888889 -21.5359722222222)","M.Melhor",NA,NA," PROMISSÃO"," OBRAS"," 39"," CASA"," M.MELHOR"," 624000"," 624000","  "," "," "," "," PROMISSÃO"," 3541604"," ESP"," -49.8603888888889"," -21.5359722222222",4
"5","Funciona","POINT (-49.22725 -21.8917777777778)","M.Melhor",NA,NA," REGINOPOLIS"," OBRAS"," 40"," CASA"," M.MELHOR"," 640000"," 640000"," Rua ANTONIO LUNA"," S/N"," JARDIM MONTE ALEGRE"," 17190000"," REGINÓPOLIS"," 3542503"," ESP"," -49.22725"," -21.8917777777778",5
"6","Funciona","POINT (-45.8880555555556 -23.3938055555556)","M.Melhor",NA,NA," SANTA BRANCA"," OBRAS"," 28"," CASA"," M.MELHOR"," 448000"," 448000"," "," "," "," "," SANTA BRANCA"," 3546009"," RMVPLN"," -45.8880555555556"," -23.3938055555556",6
"7","Funciona","POINT (-48.1663055555556 -22.57)","M.Melhor",NA,NA," LOTEAMENTO RESIDENCIAL JARDIM ITÁLIA"," OBRAS"," 40"," CASA"," M.MELHOR"," 614771,94"," 614771,94","  "," "," "," "," SANTA MARIA DA SERRA"," 3547007"," ESP"," -48.1663055555556"," -22.57",7
"8","Funciona","POINT (-50.4978611111111 -20.9332777777778)","M.Melhor",NA,NA," CONJUNTO HABITACIONAL SANTO ANTONIO DO ARACANGUÁ"," ENTREGA TOTAL"," 30"," CASA"," M.MELHOR"," 423587,53"," 423587,53"," Rua Principal SANTO ANTONIO DE ARACANGUÁ"," S/N"," CENTRO"," "," SANTO ANTÔNIO DO ARACANGUÁ"," 3548054"," ESP"," -50.4978611111111"," -20.9332777777778",8
"9","Funciona","POINT (-50.3565555555556 -20.5111944444444)","M.Melhor",NA,NA," LOTEAMENTO RESIDENCIAL PARQUE DAS PALMEIRAS"," ENTREGA TOTAL"," 30"," CASA"," M.MELHOR"," 479355,08"," 479355,08"," Rua RUA OSVALDO MENDES DA COSTA"," S/N"," "," "," SÃO JOÃO DE IRACEMA"," 3549250"," ESP"," -50.3565555555556"," -20.5111944444444",9
"10","Funciona","POINT (-47.1493611111111 -23.56)","M.Melhor",NA,NA," CONJUNTO HABITACIONAL DE INTERESSE SOCIAL PARQUE LAGO DOS PATOS"," ASSINADO"," 152"," CASA"," M.MELHOR"," 2279306,35"," 4101124,90"," Rua PAOLO SABATINI"," S/N"," GOIANÃ"," "," SÃO ROQUE"," 3550605"," RMS"," -47.1493611111111"," -23.56",10
