"","status","geometry","type","source","sYear","Empreendimento","Fase","Quantidade de UH"," Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Logradouro"," Número do Logradouro"," Bairro"," CEP"," Município"," Código do Município"," Região","Longitude","Latitude","id"
"1","Funciona","POINT (-48.4907777777778 -24.7680833333333)","OP.COLETIVAS",NA,NA," RIBEIRÃO BARRA - COOPERHAF 1091/2008"," CONCLUÍDO"," 15"," CASA"," OP.COLETIVAS"," 120000"," 321225,75","  "," "," "," "," Barra do Turvo"," 3505401"," ESP"," -48.4907777777778"," -24.7680833333333",1
"2","Funciona","POINT (-48.7653888888889 -24.2205277777778)","OP.COLETIVAS",NA,NA," RIBEIRÃO BRANCO - COOPERHAF 1096/2008"," CONCLUÍDO"," 40"," CASA"," OP.COLETIVAS"," 320000"," 776602","  "," "," "," "," Ribeirão Branco"," 3543006"," ESP"," -48.7653888888889"," -24.2205277777778",2
"3","Funciona","POINT (-47.9283888888889 -24.3833055555556)","OP.COLETIVAS",NA,NA," SETE BARRAS - COOPERHAF 1092/2008"," CONCLUÍDO"," 6"," CASA"," OP.COLETIVAS"," 48000"," 116490,30","  "," "," "," "," Sete Barras"," 3551801"," ESP"," -47.9283888888889"," -24.3833055555556",3
"4","Funciona","POINT (-48.6955555555556 -23.9218055555556)","OP.COLETIVAS",NA,NA," TAQUARIVAÍ - COOPERHAF 1100/2008"," CONCLUÍDO"," 5"," CASA"," OP.COLETIVAS"," 40000"," 97075,25","  "," "," "," "," Taquarivaí"," 3553856"," ESP"," -48.6955555555556"," -23.9218055555556",4
"5","Funciona","POINT (-47.8447222222222 -24.4999166666667)","OP.COLETIVAS",NA,NA," REGISTRO - COOPERHAF 1101/2008"," CONCLUÍDO"," 22"," CASA"," OP.COLETIVAS"," 176000"," 427131,10","  "," "," "," "," Registro"," 3542602"," ESP"," -47.8447222222222"," -24.4999166666667",5
"6","Funciona","POINT (-48.1074722222222 -24.5252222222222)","OP.COLETIVAS",NA,NA," ELDORADO - COOPERHAF 1103/2008"," CONCLUÍDO"," 28"," CASA"," OP.COLETIVAS"," 224000"," 543621,40","  "," "," "," "," Eldorado"," 3514809"," ESP"," -48.1074722222222"," -24.5252222222222",6
"7","Funciona","POINT (-48.5300555555556 -24.1886388888889)","OP.COLETIVAS",NA,NA," GUAPIARA - COOPERHAF 1102/2008"," CONCLUÍDO"," 33"," CASA"," OP.COLETIVAS"," 264000"," 640696,65","  "," "," "," "," Guapiara"," 3517604"," ESP"," -48.5300555555556"," -24.1886388888889",7
"8","Funciona","POINT (-49.1393888888889 -23.8638888888889)","OP.COLETIVAS",NA,NA," ITABERÁ - COOPERHAF 1090/2008"," CONCLUÍDO"," 36"," CASA"," OP.COLETIVAS"," 288000"," 698941,80","  "," "," "," "," Itaberá"," 3521705"," ESP"," -49.1393888888889"," -23.8638888888889",8
"9","Funciona","POINT (-48.8835555555556 -23.9735833333333)","OP.COLETIVAS",NA,NA," ITAPEVA - COOPERHAF 1106/2008"," CONCLUÍDO"," 16"," CASA"," OP.COLETIVAS"," 128000"," 310640,80","  "," "," "," "," Itapeva"," 3522406"," ESP"," -48.8835555555556"," -23.9735833333333",9
"10","Funciona","POINT (-48.0028333333333 -24.70475)","OP.COLETIVAS",NA,NA," JACUHAB - COOPERHAF 1105/2008"," CONCLUÍDO"," 11"," CASA"," OP.COLETIVAS"," 88000"," 213565,55","  "," "," "," "," Jacupiranga"," 3524600"," ESP"," -48.0028333333333"," -24.70475",10
"11","Funciona","POINT (-48.4898611111111 -24.7561111111111)","OP.COLETIVAS",NA,NA," ABC I / ABC II - COOPERHAF 1095/2008"," CONCLUÍDO"," 25"," APTO"," OP.COLETIVAS"," 200000"," 485376,25","  "," "," "," "," Barra do Turvo"," 3505401"," ESP"," -48.4898611111111"," -24.7561111111111",11
"12","Funciona","POINT (-48.8448888888889 -24.5111111111111)","OP.COLETIVAS",NA,NA," APIAÍ - COOPERHAF 1098/2008"," CONCLUÍDO"," 20"," CASA"," OP.COLETIVAS"," 160000"," 388301","  "," "," "," "," Apiaí"," 3502705"," ESP"," -48.8448888888889"," -24.5111111111111",12
"13","Funciona","POINT (-48.17925 -21.786)","OP.COLETIVAS",NA,NA," ARARAQUARA / MOTUCA - COOPERHAF 1104/2008"," CONCLUÍDO"," 27"," CASA"," OP.COLETIVAS"," 216000"," 524206,35","  "," "," "," "," Araraquara"," 3503208"," ESP"," -48.17925"," -21.786",13
"14","Funciona","POINT (-48.4896666666667 -24.7700277777778)","OP.COLETIVAS",NA,NA," BR 116 / GRUPO TERRA - COOPERHAF 1093/2008"," CONCLUÍDO"," 17"," CASA"," OP.COLETIVAS"," 136000"," 330055,85","  "," "," "," "," Barra do Turvo"," 3505401"," ESP"," -48.4896666666667"," -24.7700277777778",14
"15","Funciona","POINT (-48.3503055555556 -24.0016388888889)","OP.COLETIVAS",NA,NA," CAPÃO BONITO - COOPERHAF 1094/2008"," CONCLUÍDO"," 11"," CASA"," OP.COLETIVAS"," 88000"," 213565,55","  "," "," "," "," Capão Bonito"," 3510203"," ESP"," -48.3503055555556"," -24.0016388888889",15
"16","Funciona","POINT (-46.90125 -23.5375833333333)","OP.COLETIVAS",NA,NA," COMUNA DOM HELDER CAMARA - URBANO (VOL. I E II) 1147/2008"," CONCLUÍDO"," 128"," CASA"," OP.COLETIVAS"," 1919004,16"," 4632240,22","  "," "," "," "," Jandira"," 3525003"," RMSP"," -46.90125"," -23.5375833333333",16
