"","status","geometry","type","source","sYear","Empreendimento","Fase","Quantidade de UH"," Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Logradouro"," Número do Logradouro"," Bairro"," CEP"," Município"," Código do Município"," Região","Longitude","Latitude","id"
"1","Funciona","POINT (-48.0226111111111 -23.2706111111111)","Rural",NA,NA," JOÃO DE BARRO - QUADRA I"," OBRAS"," 22"," CASA"," RURAL"," 220000"," 891000"," Rua "," 0"," CRUZ DE CEDRO"," "," Quadra"," 3541653"," ESP"," -48.0226111111111"," -23.2706111111111",1
"2","Funciona","POINT (-48.8572222222222 -23.9852777777778)","Rural",NA,NA," JOÃO DE BARRO - QUILOMBO JAÓ"," OBRAS"," 6"," CASA"," RURAL"," 60000"," 243000"," Estrada ITAPEVA"," S/N"," JAO"," 18400000"," Itapeva"," 3522406"," ESP"," -48.8572222222222"," -23.9852777777778",2
"3","Funciona","POINT (-48.7614444444444 -24.2252222222222)","Rural",NA,NA," JOÃO DE BARRO - RIBEIRÃO BRANCO ASSALARIADOS I"," OBRAS"," 38"," CASA"," RURAL"," 380000"," 1539000","  "," "," "," "," Ribeirão Branco"," 3543006"," ESP"," -48.7614444444444"," -24.2252222222222",3
"4","Funciona","POINT (-48.7613611111111 -24.2253055555556)","Rural",NA,NA," JOÃO DE BARRO - RIBEIRÃO BRANCO ASSALARIADOS II"," OBRAS"," 29"," CASA"," RURAL"," 290000"," 1174500","  "," "," "," "," Ribeirão Branco"," 3543006"," ESP"," -48.7613611111111"," -24.2253055555556",4
"5","Funciona","POINT (-48.3551111111111 -24.0707944444444)","Rural",NA,NA," JOAO DE BARRO - RIBEIRÃO GRANDE 7"," OBRAS"," 43"," CASA"," RURAL"," 430000"," 1741500"," Estrada N/C"," S/N"," LAGOA"," 18315000"," Ribeirão Grande"," 3543253"," ESP"," -48.3551111111111"," -24.0707944444444",5
"6","Funciona","POINT (-48.3745277777778 -24.1098055555556)","Rural",NA,NA," JOÃO DE BARRO - RIBEIRÃO GRANDE IV"," CONCLUÍDO"," 33"," CASA"," RURAL"," 330000"," 1336500","  "," "," "," "," Ribeirão Grande"," 3543253"," ESP"," -48.3745277777778"," -24.1098055555556",6
"7","Funciona","POINT (-48.3701111111111 -24.1043055555556)","Rural",NA,NA," JOÃO DE BARRO - RIBEIRÃO GRANDE V"," CONCLUÍDO"," 34"," CASA"," RURAL"," 340000"," 1377000","  "," "," "," "," Ribeirão Grande"," 3543253"," ESP"," -48.3701111111111"," -24.1043055555556",7
"8","Funciona","POINT (-48.3670555555556 -24.1059722222222)","Rural",NA,NA," JOÃO DE BARRO - RIBEIRÃO GRANDE VI"," CONCLUÍDO"," 17"," CASA"," RURAL"," 170000"," 688500","  "," "," "," "," Ribeirão Grande"," 3543253"," ESP"," -48.3670555555556"," -24.1059722222222",8
"9","Funciona","POINT (-49.5259916666667 -23.8821805555556)","Rural",NA,NA," JOAO DE BARRO - RIVERSUL 4"," ASSINADO"," 20"," CASA"," RURAL"," 200000"," 810000"," Estrada n/c"," s/n"," PADILHA"," 18470000"," Riversul"," 3543501"," ESP"," -49.5259916666667"," -23.8821805555556",9
"10","Funciona","POINT (-49.42975 -23.8294166666667)","Rural",NA,NA," JOÃO DE BARRO - RIVERSUL III"," ENTREGA TOTAL"," 38"," CASA"," RURAL"," 380000"," 1539000"," Rua "," 0"," PADILHA"," "," Riversul"," 3543501"," ESP"," -49.42975"," -23.8294166666667",10
"11","Funciona","POINT (-48.6283333333333 -23.96)","Rural",NA,NA," JOÃO DE BARRO - TAQUARIVAI II"," ENTREGA TOTAL"," 36"," CASA"," RURAL"," 360000"," 1458000"," Adro "," 0"," BAIRRO DAS PEDRINHAS"," "," Taquarivaí"," 3553856"," ESP"," -48.6283333333333"," -23.96",11
"12","Funciona","POINT (-49.3145583333333 -24.0487)","Rural",NA,NA," MORADA BOA VISTA"," ENTREGA TOTAL"," 11"," CASA"," RURAL"," 110000"," 445500"," Rua "," 0"," MATÃO e BARREIRINHO"," "," Itararé"," 3523206"," ESP"," -49.3145583333333"," -24.0487",12
"13","Funciona","POINT (-47.9799083333333 -23.8408777777778)","Rural",NA,NA," MORADA DAS VIDEIRAS"," ENTREGA TOTAL"," 11"," CASA"," RURAL"," 110000"," 445500"," Estrada Municipal         JOÃO SANTIAGO TERRA FRANÇA KM 26"," "," BREJAÚVA"," 18230000"," São Miguel Arcanjo"," 3550209"," RMS"," -47.9799083333333"," -23.8408777777778",13
"14","Funciona","POINT (-52.0005638888889 -21.6166777777778)","Rural",NA,NA," MORADA DO SOL - GRUPO 01"," OBRAS"," 9"," CASA"," RURAL"," 90000"," 355500"," Estrada VICINAL A CAMPINAL"," S/N"," CAMPINAL"," 19470000"," Presidente Epitácio"," 3541307"," ESP"," -52.0005638888889"," -21.6166777777778",14
"15","Funciona","POINT (-51.104 -21.1317777777778)","Rural",NA,NA," MORAR DECENTE NA ROCA GRUPO 1"," OBRAS"," 103"," CASA"," RURAL"," 1030000"," 4068500"," Estrada DE INTEGRAÇÃO MIRANDOPOLIS A PACAEMBU"," S/N"," PA FLORESTAN FERNANDES"," 16800000"," Mirandópolis"," 3530102"," ESP"," -51.104"," -21.1317777777778",15
"16","Funciona","POINT (-52.1468055555556 -22.5096388888889)","Rural",NA,NA," PA DONA CARMEM - GRUPO A"," OBRAS"," 6"," CASA"," RURAL"," 60000"," 169200"," Rodovia EUCLIDES DE OLIVEIRA FIGUEIREDO"," KM 2"," ASSENT DONA CARMEM"," 19260000"," Mirante do Paranapanema"," 3530201"," ESP"," -52.1468055555556"," -22.5096388888889",16
"17","Funciona","POINT (-52.1469638888889 -22.5101777777778)","Rural",NA,NA," PA DONA CARMEM - GRUPO B"," OBRAS"," 11"," CASA"," RURAL"," 109991,04"," 434491,04"," Rodovia EUCLIDES DE OLIVEIRA FIGUEIREDO"," KM 2"," ASSENT DONA CARMEM"," 19260000"," Mirante do Paranapanema"," 3530201"," ESP"," -52.1469638888889"," -22.5101777777778",17
"18","Funciona","POINT (-51.2506 -21.2771972222222)","Rural",NA,NA," PA FLORESTAN FERNANDES - GRUPO B"," OBRAS"," 18"," CASA"," RURAL"," 180000"," 711000"," Estrada DE INTEGRAÇÃO MIRANDOPOLIS A PACAEMBU"," KM 66"," PA FLORESTAN FERNANDES"," 16800000"," Mirandópolis"," 3530102"," ESP"," -51.2506"," -21.2771972222222",18
"19","Funciona","POINT (-51.3450055555556 -22.2530805555556)","Rural",NA,NA," PALMITALZINHO - GRUPO 01"," OBRAS"," 13"," CASA"," RURAL"," 130000"," 513500"," Rodovia JOSE BATISTA DE SOUZA"," S/N"," PALMITALZINHO"," 19570000"," Regente Feijó"," 3542404"," ESP"," -51.3450055555556"," -22.2530805555556",19
"20","Funciona","POINT (-48.7210138888889 -23.3894777777778)","Rural",NA,NA," RIO BONITO"," APORTE EMITIDO"," 48"," CASA"," RURAL"," 480000"," 1896000"," Estrada N/C"," S/N"," FAZENDINHA"," 18720000"," Paranapanema"," 3535804"," ESP"," -48.7210138888889"," -23.3894777777778",20
"21","Funciona","POINT (-49.9573611111111 -22.1988333333333)","Rural",NA,NA," SÃO JERÔNIMO"," APORTE EMITIDO"," 25"," CASA"," RURAL"," 250000"," 987500"," Rodovia ZONA RURAL"," S/N"," SAO JERONIMO"," 17500001"," Marília"," 3529005"," ESP"," -49.9573611111111"," -22.1988333333333",21
"22","Funciona","POINT (-49.3141861111111 -24.07885)","Rural",NA,NA," SONHO MEU"," APORTE EMITIDO"," 44"," CASA"," RURAL"," 440000"," 1738000"," Estrada N/C"," S/N"," CACHOEIRA"," 18460000"," Itararé"," 3523206"," ESP"," -49.3141861111111"," -24.07885",22
"23","Funciona","POINT (-49.4619444444444 -23.7211111111111)","Rural",NA,NA," JOAO DE BARRO - ALDEIA TEKOA PORÃ"," OBRAS"," 13"," CASA"," RURAL"," 130000"," 526500"," Estrada ITAPORANGA"," S/N"," VOLTA GRANDE"," 18480000"," Itaporanga"," 3522802"," ESP"," -49.4619444444444"," -23.7211111111111",23
"24","Funciona","POINT (-49.5791638888889 -23.5380333333333)","Rural",NA,NA," JOAO DE BARRO - BARÃO DE ANTONINA 1"," OBRAS"," 26"," CASA"," RURAL"," 260000"," 1053000"," Estrada n/c"," n/c"," Serra dos Paes"," 18490000"," Barão de Antonina"," 3505005"," ESP"," -49.5791638888889"," -23.5380333333333",24
"25","Funciona","POINT (-48.9729416666667 -24.4724805555556)","Rural",NA,NA," JOAO DE BARRO - BARRA DO CHAPÉU 3"," OBRAS"," 24"," CASA"," RURAL"," 240000"," 972000"," Estrada N/C"," S/N"," PONTE ALTA"," 18325000"," Barra do Chapéu"," 3505351"," ESP"," -48.9729416666667"," -24.4724805555556",25
"26","Funciona","POINT (-49.1394166666667 -24.3183611111111)","Rural",NA,NA," JOÃO DE BARRO - BOM SUCESSO DE ITARARÉ I"," OBRAS"," 23"," CASA"," RURAL"," 230000"," 931500","  "," "," "," "," Bom Sucesso de Itararé"," 3507159"," ESP"," -49.1394166666667"," -24.3183611111111",26
"27","Funciona","POINT (-49.1373333333333 -24.3194444444444)","Rural",NA,NA," JOÃO DE BARRO - BOM SUCESSO DE ITARARÉ II"," OBRAS"," 36"," CASA"," RURAL"," 360000"," 1458000","  "," "," "," "," Bom Sucesso de Itararé"," 3507159"," ESP"," -49.1373333333333"," -24.3194444444444",27
"28","Funciona","POINT (-48.6172222222222 -23.8508333333333)","Rural",NA,NA," JOÃO DE BARRO - BURI III"," OBRAS"," 20"," CASA"," RURAL"," 200000"," 810000"," Adro "," 0"," SANTA TEREZINHA, DOS COSTAS, LAGEADO e  CAPÃO ALTO"," "," Buri"," 3508009"," ESP"," -48.6172222222222"," -23.8508333333333",28
"29","Funciona","POINT (-48.342825 -24.0075055555556)","Rural",NA,NA," JOAO DE BARRO - CAPÃO BONITO 3"," OBRAS"," 24"," CASA"," RURAL"," 240000"," 972000"," Estrada N/C"," S/N"," ANA BENTA"," 18300970"," Capão Bonito"," 3510203"," ESP"," -48.342825"," -24.0075055555556",29
"30","Funciona","POINT (-48.3472222222222 -24.0205555555556)","Rural",NA,NA," JOÃO DE BARRO - CAPÃO BONITO I"," ENTREGA TOTAL"," 19"," CASA"," RURAL"," 190000"," 769500","  "," "," "," "," Capão Bonito"," 3510203"," ESP"," -48.3472222222222"," -24.0205555555556",30
"31","Funciona","POINT (-48.3503611111111 -24.0021111111111)","Rural",NA,NA," JOÃO DE BARRO - CAPÃO BONITO II"," OBRAS >= 85%"," 40"," CASA"," RURAL"," 400000"," 1620000"," Rua "," 0"," ITANGUÁ"," "," Capão Bonito"," 3510203"," ESP"," -48.3503611111111"," -24.0021111111111",31
"32","Funciona","POINT (-49.3141111111111 -23.6267222222222)","Rural",NA,NA," JOÃO DE BARRO - CORONEL MACEDO"," ASSINADO"," 46"," CASA"," RURAL"," 460000"," 1863000","  "," "," "," "," Coronel Macedo"," 3512605"," ESP"," -49.3141111111111"," -23.6267222222222",32
"33","Funciona","POINT (-48.1177777777778 -23.3570277777778)","Rural",NA,NA," JOÃO DE BARRO - GUAREÍ"," OBRAS"," 34"," CASA"," RURAL"," 340000"," 1377000"," Rua "," 0"," VITÓRIA"," "," Guareí"," 3518503"," ESP"," -48.1177777777778"," -23.3570277777778",33
"34","Funciona","POINT (-49.2968611111111 -23.8591388888889)","Rural",NA,NA," JOÃO DE BARRO - ITABERÁ IX"," OBRAS >= 85%"," 43"," CASA"," RURAL"," 430000"," 1741500"," Rua "," 0"," AQUINOS"," "," Itaberá"," 3521705"," ESP"," -49.2968611111111"," -23.8591388888889",34
"35","Funciona","POINT (-49.1396944444444 -23.8643611111111)","Rural",NA,NA," JOÃO DE BARRO - ITABERÁ VII"," OBRAS"," 32"," CASA"," RURAL"," 320000"," 1296000","  "," "," "," "," Itaberá"," 3521705"," ESP"," -49.1396944444444"," -23.8643611111111",35
"36","Funciona","POINT (-49.1753333333333 -23.8864444444444)","Rural",NA,NA," JOÃO DE BARRO - ITABERÁ VIII"," ENTREGA TOTAL"," 39"," CASA"," RURAL"," 390000"," 1579500"," Adro "," 0"," CAFEZAL VELHO"," "," Itaberá"," 3521705"," ESP"," -49.1753333333333"," -23.8864444444444",36
"37","Funciona","POINT (-49.1430833333333 -23.8599166666667)","Rural",NA,NA," JOÃO DE BARRO - ITABERÁ X"," OBRAS >= 85%"," 42"," CASA"," RURAL"," 420000"," 1701000"," Rua "," 0"," RIO VERDE"," "," Itaberá"," 3521705"," ESP"," -49.1430833333333"," -23.8599166666667",37
"38","Funciona","POINT (-49.1412777777778 -23.86475)","Rural",NA,NA," JOÃO DE BARRO - ITABERÁ XI"," OBRAS"," 41"," CASA"," RURAL"," 410000"," 1660500"," Rua "," 0"," TOMÉ"," "," Itaberá"," 3521705"," ESP"," -49.1412777777778"," -23.86475",38
"39","Funciona","POINT (-48.8631694444444 -24.5656527777778)","Rural",NA,NA," JOAO DE BARRO - ITAOCA 1"," OBRAS"," 35"," CASA"," RURAL"," 350000"," 1417500"," Estrada N/C"," S/N"," GUARDA MÃO"," "," Itaóca"," 3522158"," ESP"," -48.8631694444444"," -24.5656527777778",39
"40","Funciona","POINT (-48.852 -24.0376944444444)","Rural",NA,NA," JOÃO DE BARRO - ITAPEVA VI"," ENTREGA TOTAL"," 45"," CASA"," RURAL"," 450000"," 1822500"," Adro "," 0"," PACOVA e AVENCAL"," "," Itapeva"," 3522406"," ESP"," -48.852"," -24.0376944444444",40
"41","Funciona","POINT (-48.8519444444444 -24.0369444444444)","Rural",NA,NA," JOÃO DE BARRO - ITAPEVA VII"," ENTREGA TOTAL"," 32"," CASA"," RURAL"," 320000"," 1296000"," Adro "," 0"," LAGOA GRANDE, FUNDÃO e FAXINAL"," "," Itapeva"," 3522406"," ESP"," -48.8519444444444"," -24.0369444444444",41
"42","Funciona","POINT (-48.8708888888889 -23.9852777777778)","Rural",NA,NA," JOÃO DE BARRO - ITAPEVA VIII"," ENTREGA TOTAL"," 45"," CASA"," RURAL"," 450000"," 1822500"," Adro "," 0"," SALTINHO DO COQUEIRAL e COELHO"," "," Itapeva"," 3522406"," ESP"," -48.8708888888889"," -23.9852777777778",42
"43","Funciona","POINT (-49.4866666666667 -23.7127777777778)","Rural",NA,NA," JOÃO DE BARRO - ITAPORANGA"," ENTREGA TOTAL"," 13"," CASA"," RURAL"," 130000"," 526500"," Adro "," 0"," DA ONÇA, PAU´DALHO e SANTO ANTÔNIO"," "," Itaporanga"," 3522802"," ESP"," -49.4866666666667"," -23.7127777777778",43
"44","Funciona","POINT (-49.4826944444444 -23.7045)","Rural",NA,NA," JOÃO DE BARRO - ITAPORANGA II"," ENTREGA TOTAL"," 24"," CASA"," RURAL"," 240000"," 972000"," Rua "," 0"," BAIRRO DA ONÇA"," "," Itaporanga"," 3522802"," ESP"," -49.4826944444444"," -23.7045",44
