"","status","geometry","type","source","sYear","Órgãos Beneficiados","Fase","Quantidade de UH","Tipo de UH"," Programa"," Valor Estadual"," Valor Total"," Bairro"," CEP"," Município"," Código do Município"," UF"," Região"," Longitude","Latitude","id"
"1","Funciona","POINT (-45.478523 -22.934749)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 30564,52"," 190000"," GALEGA"," 12425300"," PINDAMONHANGABA"," 3538006"," SP"," RMVPLN"," -45.478523"," -22.934749",1
"2","Funciona","POINT (-48.206322 -23.370188)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 80000"," RES FLORESTA"," 18250000"," GUAREÍ"," 3518503"," SP"," RMS"," -48.206322"," -23.370188",2
"3","Funciona","POINT (-45.401653 -23.806346)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 3100"," 180000"," ENSEADA"," 11600000"," SÃO SEBASTIÃO"," 3550704"," SP"," RMVPLN"," -45.401653"," -23.806346",3
"4","Funciona","POINT (-47.057656 -22.954229)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 25120,18"," 188340,58"," SAO MARTINHO"," 13040565"," CAMPINAS"," 3509502"," SP"," RMC"," -47.057656"," -22.954229",4
"5","Funciona","POINT (-47.320052 -22.713538)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 11729,76"," 130000"," RES MONIQUE"," 13473710"," AMERICANA"," 3501608"," SP"," RMC"," -47.320052"," -22.713538",5
"6","Funciona","POINT (-47.381038 -20.545946)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 34500"," 140000"," JARDIM ELISA"," 14403661"," FRANCA"," 3516200"," SP"," ESP"," -47.381038"," -20.545946",6
"7","Funciona","POINT (-47.509632 -23.502594)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 33812,12"," 136000"," CERRADO"," 18055113"," SOROCABA"," 3552205"," SP"," RMS"," -47.509632"," -23.502594",7
"8","Funciona","POINT (-47.723914 -21.169894)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 17835,38"," 145000"," JD ANGEL JURCA"," 14093668"," RIBEIRÃO PRETO"," 3543402"," SP"," ESP"," -47.723914"," -21.169894",8
"9","Funciona","POINT (-46.528098 -23.428611)","SPE",NA,NA," SAUDE"," Entregue"," 1"," "," SPE"," 21555,24"," 144000"," DOS MORROS"," 7135313"," GUARULHOS"," 3518800"," SP"," RMSP"," -46.528098"," -23.428611",9
"10","Funciona","POINT (-47.681921 -22.681863)","SPE",NA,NA," EDUCACAO"," Entregue"," 1"," "," SPE"," 20778,40"," 149500"," STA TEREZINHA"," 13411030"," PIRACICABA"," 3538709"," SP"," AU PIRACICABA"," -47.681921"," -22.681863",10
